Energy_Use_kWh,Height,Year_Built,Longitude,Latitude,Name,Area_m,Occupants,apartments,parking,stadium,university,utility,warehouse,Building_Length_m,Orientation (degrees north) ,Relative Compactness,Tree_Canopy,Land_Surface_Temp
811000,22.86,2018,-122.3048693,47.66063046,McCarty Hall,17243.16841,484.5330323,1,0,0,0,0,0,353,91,0.02,0,25.76870741
424000,30.46,1927,-122.312465,47.6556112,Commodore-Duchess Apartments,9090.465647,255.4420847,1,0,0,0,0,0,189,89,0.02,0,26.49954223
3163550,22.86,2018,-122.3042831,47.65987112,Willow Hall,18637.08502,523.7020891,1,0,0,0,0,0,376,46,0.02,0,25.11265472
1170000,22.86,2018,-122.3052525,47.66013709,Madrona Hall,12675.96403,356.1945892,1,0,0,0,0,0,286,136,0.02,1,26.34741445
5170000,23.34,1994,-122.3109903,47.6529618,Physics & Astronomy Auditorium,5498.092443,295.7973734,0,0,0,1,0,0,208,144,0.04,3,25.5154632
380000000,30.43,2013,-122.315013,47.65567665,Lander Hall,22489.02921,631.9417208,1,0,0,0,0,0,358,89,0.02,6,26.82549705
1140000,36.71,1974,-122.3161194,47.65662448,Condon Hall,12312.7133,345.9872437,1,0,0,0,0,0,214,89,0.02,3,26.11952055
1160000,48.2,1963,-122.3036563,47.65928836,Haggett Hall,19148.60894,538.0759112,1,0,0,0,0,0,335,91,0.02,0,25.80848073
1790000,51.38,1965,-122.3036918,47.65821971,McMahon Hall,26788.76586,752.7643207,1,0,0,0,0,0,413,91,0.02,14,24.92414574
8932734.979,37.52,2006,-122.3129107,47.65214946,W.H. Foege Genome Sciences,11121.88265,598.3572866,0,0,0,1,0,0,458,144,0.04,0,25.71122253
19093367.68,45.91,1994,-122.3118045,47.65334287,Physics & Astronomy  Tower,4088.66103,219.9699634,0,0,0,1,0,0,98,89,0.02,0,25.55461506
83337.40064,19.6,1909,-122.3109099,47.6545876,Architecture Hall,4411.498955,237.3386438,0,0,0,1,0,0,212,179,0.05,0,25.4983731
643447.6166,40.77,1991,-122.3070378,47.65553412,Allen Library,20590.55641,1107.771935,0,0,0,1,0,0,299,25,0.01,11,27.31924557
0,23.79,1949,-122.3064265,47.65839428,Art Building,11527.59005,620.1843447,0,0,0,1,0,0,380,45,0.03,10,25.88367717
15302.68904,32.71,1909,-122.3036753,47.6537105,Power Plant,16236.3786,873.5171687,0,0,0,1,0,0,529,179,0.03,0,28.01255986
0,19.04,1895,-122.3092813,47.66034525,Jacobsen Observatory,199.462741,10.73109547,0,0,0,1,0,0,56,180,0.28,34,24.177153
0,20.71,1940,-122.3081123,47.66071549,Hughes Penthouse,1426.432662,76.74207722,0,0,0,1,0,0,114,27,0.08,14,25.19945171
0,47.21,1963,-122.3029406,47.66013148,NPL Van De Graaff,3451.160644,185.6724426,0,0,0,1,0,0,333,32,0.1,16,25.00783544
141489.4821,24.88,1969,-122.3045022,47.65463299,Engineering Library,3767.123747,202.6712576,0,0,0,1,0,0,106,24,0.03,13,27.19707725
